"Customweb_Subscription::%s %s cycle","%s %s cyclus"
"Customweb_Subscription::-- Please Select --","-- Selecteer alstublieft --"
"Customweb_Subscription::3D Secure","3D Secure"
"Customweb_Subscription::3D Secure Authentication","3D Secure Authentication"
"Customweb_Subscription::3D Secure failed","3D Secure mislukt"
"Customweb_Subscription::3D Secure sucess","3D Secure succes"
"Customweb_Subscription::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">De verwachte formaat is '!format' waar de 'MM' is de maand nummer en 'YY' het jaartal.</span>"
"Customweb_Subscription::A authorized transaction cannot be authorized again.","Een geautoriseerde transactie kan niet worden weer geautoriseerd."
"Customweb_Subscription::A authorized transaction cannot be marked as failed.","Een geautoriseerde transactie kan niet worden gemarkeerd als mislukt."
"Customweb_Subscription::A cancelled transaction cannot be authorized.","Een geannuleerde transactie kan niet worden geautoriseerd."
"Customweb_Subscription::A cancelled transaction cannot be cancelled again.","Een geannuleerde transactie kan niet worden weer geannuleerd."
"Customweb_Subscription::A cancelled transaction cannot be captured.","Een geannuleerde transactie kan niet worden weer opgenomen."
"Customweb_Subscription::A cancelled transaction cannot be marked as failed.","Een geannuleerde transactie kan niet worden gemarkeerd als mislukt."
"Customweb_Subscription::A cancelled transaction cannot be refunded.","Een geannuleerde transactie kan niet worden bijgeschreven."
"Customweb_Subscription::A captured transaction cannot be authorized.","Een opgenomen transactie kan niet worden geautoriseerd."
"Customweb_Subscription::A captured transaction cannot be cancelled.","Een opgenomen transactie kan niet worden geannuleerd."
"Customweb_Subscription::A captured transaction cannot be marked as failed.","Een opgenomen transactie kan niet worden gemarkeerd als mislukt."
"Customweb_Subscription::A failed authorization cannot be authorized.","Een mislukte autorisatie kan niet worden geautoriseerd."
"Customweb_Subscription::A refund was added over !amount.","Een terugbetaling van !amount werd toegevoegd."
"Customweb_Subscription::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Een transactie kan onveilig zijn als de betaling niet is gegarandeerd. Bijvoorbeeld, als de credit card niet tot het 3D Secure proces."
"Customweb_Subscription::About","About"
"Customweb_Subscription::About This Subscription:","Over deze Abonnement:"
"Customweb_Subscription::Account Holder Name","Naam rekeninghouder"
"Customweb_Subscription::Account owner name.","Rekeninghouder naam"
"Customweb_Subscription::Action","Actie"
"Customweb_Subscription::Activate","Activeren"
"Customweb_Subscription::Active","Actief"
"Customweb_Subscription::Add","Toevoegen"
"Customweb_Subscription::After %s more cycle(s)","Na %s meer cycli"
"Customweb_Subscription::Agreement Checkbox Text","Overeenkomst Checkbox Tekst"
"Customweb_Subscription::Agreement Text","Overeenkomst tekst"
"Customweb_Subscription::Agreement Title","Titel van de overeenkomst"
"Customweb_Subscription::Alias","Alias"
"Customweb_Subscription::All subscriptions are up to date.","Alle inschrijvingen zijn bijgewerkt."
"Customweb_Subscription::Allow Guest Subscriptions","Laat abonnementen van gasten"
"Customweb_Subscription::American Express","American Express"
"Customweb_Subscription::Apply Subscription","Solliciteer Abonnement"
"Customweb_Subscription::Are you sure you want to authorize this subscription?","Weet u zeker dat u dit abonnement machtigen?"
"Customweb_Subscription::Are you sure you want to cancel this subscription?","Weet u zeker dat u dit abonnement opzeggen?"
"Customweb_Subscription::Are you sure you want to capture this subscription?","Weet u zeker dat u dit abonnement vast te leggen?"
"Customweb_Subscription::Are you sure you want to permanently delete this subscription?","Bent u zeker dat u dit abonnement definitief te verwijderen?"
"Customweb_Subscription::Are you sure?","Weet je het zeker?"
"Customweb_Subscription::Attrib. Set Name","Attrib. Set Name"
"Customweb_Subscription::Author","Author"
"Customweb_Subscription::Authorization Amount","Autorisatie bedrag"
"Customweb_Subscription::Authorization Failed","Autorisatie mislukt"
"Customweb_Subscription::Authorization Method","Autorisatie Methode"
"Customweb_Subscription::Authorize next cycle","Machtigen volgende cyclus"
"Customweb_Subscription::Authorized","Geautoriseerde"
"Customweb_Subscription::Authorized Status","Authorized Status"
"Customweb_Subscription::Awaiting confirmation","Awaiting confirmation"
"Customweb_Subscription::BIC","BIC"
"Customweb_Subscription::Back","Terug"
"Customweb_Subscription::Back to Subscriptions","Ga terug naar abonnementen"
"Customweb_Subscription::Bad signature format.","Bad signature format."
"Customweb_Subscription::Bank Location","Bank Locatie"
"Customweb_Subscription::Bank Name","Bank Naam"
"Customweb_Subscription::Bank account number","Bankrekeningnummer"
"Customweb_Subscription::Bank code number","Bankcode"
"Customweb_Subscription::Bill to Name","Stuur factuur naar naam"
"Customweb_Subscription::Billing Address","Fleveradres"
"Customweb_Subscription::Billing Amount","Factuurbedrag"
"Customweb_Subscription::Billing Frequency","Factureringsfrequentie"
"Customweb_Subscription::Billing Information","Billing Information"
"Customweb_Subscription::Billing Period","Billing Periode"
"Customweb_Subscription::Billing Period Unit","Eenheid van de factuurperiode"
"Customweb_Subscription::Billing address","Billing address"
"Customweb_Subscription::Brand Name","Brand Name"
"Customweb_Subscription::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_Subscription::CVC Code","CVC Code"
"Customweb_Subscription::Calculate Price","Calculate Price"
"Customweb_Subscription::Calculated Price","Berekende prijs"
"Customweb_Subscription::Can Customer Suspend","Kan de klant het abonnement op te schorten?"
"Customweb_Subscription::Cancel","Annuleren"
"Customweb_Subscription::Cancel ID","Cancel ID"
"Customweb_Subscription::Cancel Subscription","Abonnement opzeggen"
"Customweb_Subscription::Cancel status","Cancel status"
"Customweb_Subscription::Cancelation Email Template","Cancelation Email Template"
"Customweb_Subscription::Cancelation Request Email Template","E-mail template voor de annulering verzoek"
"Customweb_Subscription::Cancelation Requested","Annulering gevraagd"
"Customweb_Subscription::Cancelation Requested At","Annulering gevraagd op"
"Customweb_Subscription::Canceled","Cancelled"
"Customweb_Subscription::Cancelled Status","Cancelled Status"
"Customweb_Subscription::Cannot apply the subscription plan.","Het abonnement plan kan niet worden toegepast."
"Customweb_Subscription::Cannot get the subscription instance.","Niet kan bereiken de instantie abonnement."
"Customweb_Subscription::Capture","Debiteer"
"Customweb_Subscription::Capture Amount","Capture Amount"
"Customweb_Subscription::Capture ID","Capture ID"
"Customweb_Subscription::Capture amount","Capture bedrag"
"Customweb_Subscription::Capture status","Capture status"
"Customweb_Subscription::Captured","Gedebiteerd"
"Customweb_Subscription::Captured Amount","Opgenomen bedrag"
"Customweb_Subscription::Captured Status","Captured Status"
"Customweb_Subscription::Capturing","Capturing"
"Customweb_Subscription::Card Expiration","Kaart vervaldatum"
"Customweb_Subscription::Card Holder Name","Kaarthouder"
"Customweb_Subscription::Card Number","Kaartnummer"
"Customweb_Subscription::Cart Subscriptions","Inschrijving op winkelwagentje"
"Customweb_Subscription::Change","Veranderen"
"Customweb_Subscription::Change Subscription","Abonnement veranderen"
"Customweb_Subscription::Change status","Status wijzigen"
"Customweb_Subscription::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_Subscription::Checkout Settings","Instellingen voor de kassa"
"Customweb_Subscription::Choose settlement after order in case you want an invoice to be created with your oder.","Kies schikking na om in het geval u een factuur te worden gemaakt met uw oder willen."
"Customweb_Subscription::Choose settlement after order in case you want an invoice to be created with your order.","Choose settlement after order in case you want an invoice to be created with your order."
"Customweb_Subscription::Company Commercial Number","Company Commerciële Nummer"
"Customweb_Subscription::Could not convert object of type '!type' to string.","Kan niet converteren object van het type '!type' naar een string."
"Customweb_Subscription::Could not find a brand for the given card number.","Kan een merk voor de opgegeven kaartnummer niet vinden."
"Customweb_Subscription::Could not find template file at default location '!location'.","Kan template bestand niet vinden op standaard locatie '!location'."
"Customweb_Subscription::Could not find the payment method !paymentMethodName.","Kan de betaalmethode !paymentMethodName niet vinden."
"Customweb_Subscription::Could not load layout from URL !url. Reason: !reason","Kon layout niet laden van URL !url. Reden: !reason"
"Customweb_Subscription::Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Customweb_Subscription::Credit Card Brands","Credit Card Brands"
"Customweb_Subscription::Currency","Valuta"
"Customweb_Subscription::Customer Name","Naam van de klant"
"Customweb_Subscription::Customer name","Customer name"
"Customweb_Subscription::Customer sucessfully returned from the ____ModuleCamel____ payment page.","Customer sucessfully returned from the ____ModuleCamel____ payment page."
"Customweb_Subscription::Date","Datum"
"Customweb_Subscription::Date of Birth","Geboortedatum"
"Customweb_Subscription::Day","Dag"
"Customweb_Subscription::Days Before Due Date","Dagen voor vervaldatum"
"Customweb_Subscription::Deactivate","Deactivate"
"Customweb_Subscription::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_Subscription::Deferred (authorization)","Deferred (authorization)"
"Customweb_Subscription::Define a fee or a discount (negative value) that is added to or subtracted from the initial payment.","Definieer een vergoeding of een korting van (negatieve waarde) die wordt toegevoegd aan of afgetrokken van de eerste betaling."
"Customweb_Subscription::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_Subscription::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_Subscription::Define if a customer can purchase a subscription as guest.","Definiëren als een klant een abonnement kan kopen als gast."
